Close/Last,Volume,Open,High,Low,daily_returns
39.06,27105700,39.29,39.35,38.95,
39.425,41731030,39.22,39.51,38.51,0.009344598054275233
39.64,32089010,39.34,39.9,38.97,0.00545339251743826
39.54,29646100,39.54,39.85,39.37,-0.0025227043390515513
39.97,22761620,39.74,40.02,39.65,0.010875063227111736
40.42,26994040,39.92,40.5,39.85,0.011258443832874665
40.24,18803840,40.3,40.45,40.05,-0.004453240969816918
39.6,37717220,40.09,40.4,39.51,-0.015904572564612307
39.83,29867030,39.67,39.84,39.27,0.005808080808080707
39.75,23640880,39.61,39.82,39.46,-0.0020085362791865125
39.68,21318920,39.68,39.94,39.46,-0.001761006289308198
40.35,22377460,39.8,40.35,39.7399,0.016885080645161255
40.1,20201010,40.29,40.35,39.85,-0.006195786864931829
40.12,18013300,40.37,40.37,40.0,0.0004987531172069293
40.19,26160450,40.26,40.26,39.81,0.0017447657028912822
40.01,25711440,40.14,40.19,39.82,-0.004478726051256543
40.34,19887140,40.15,40.35,39.91,0.008247938015496281
40.94,34564370,40.45,40.97,40.25,0.014873574615765772
40.79,18493950,40.95,41.09,40.68,-0.003663898387884723
40.29,18041370,40.6,40.68,40.25,-0.012257906349595449
40.32,23198020,40.21,40.37,39.86,0.0007446016381236209
41.21,31839900,40.59,41.25,40.4,0.022073412698412787
41.48,24042030,41.48,41.66,41.24,0.006551807813637289
41.27,15011640,41.39,41.48,41.02,-0.005062680810028808
41.11,15002270,41.03,41.16,40.86,-0.0038769081657379356
40.86,17635280,40.93,41.07,40.765,-0.006081245439065963
40.58,29812690,40.81,40.88,40.29,-0.006852667645619204
41.23,26305900,41.1,41.565,40.86,0.016017742730409124
41.5,24127410,41.04,41.61,41.04,0.006548629638612802
41.68,22473060,41.29,41.91,40.335,0.004337349397590451
41.65,27053740,41.605,41.74,41.18,-0.0007197696737044623
41.51,19828190,41.57,41.77,41.3301,-0.003361344537815114
41.68,47760950,41.445,41.83,41.38,0.004095398699108799
41.99,18731430,41.73,42.0,41.69,0.007437619961612407
41.745,26499460,41.83,41.94,41.56,-0.005834722552988891
42.03,20038340,41.7,42.05,41.46,0.00682716492993185
41.72,23604390,41.93,41.94,41.43,-0.007375684035213048
42.25,70385440,41.61,42.29,41.51,0.012703739213806298
41.7,30790300,42.17,42.21,41.7,-0.013017751479289852
41.87,26916950,41.86,42.15,41.69,0.004076738609112507
41.9,20208090,41.73,41.9,41.53,0.0007165034631000378
41.8,15969310,41.91,41.99,41.56,-0.0023866348448687846
41.99,21896680,41.75,42.12,41.71,0.00454545454545463
41.78,31218210,41.87,42.0,41.61,-0.005001190759704732
41.67,18374910,41.98,41.99,41.53,-0.002632838678793714
41.685,21854010,41.37,42.0,41.05,0.00035997120230391033
42.09,24082750,41.7,42.09,41.48,0.0097157250809643
42.14,21878810,42.22,42.45,42.04,0.001187930624851452
42.45,28743300,42.33,42.47,42.03,0.007356430944470915
44.08,63304860,42.51,44.31,42.48,0.038398115429917334
44.53,82146080,45.45,45.71,44.25,0.01020871143375679
44.69,43396060,44.65,44.84,44.25,0.003593083314619383
44.835,37569630,44.56,45.16,44.22,0.003244573730140976
44.83,42589920,45.0,45.15,44.59,-0.000111520017843314
44.87,52352270,45.45,45.45,44.62,0.0008922596475573474
44.4,30692230,44.93,45.0,44.32,-0.010474704702473803
44.5,26700810,44.3,44.66,44.3,0.0022522522522523403
43.97,29650540,44.36,44.51,43.93,-0.01191011235955064
43.885,27755840,43.91,44.09,43.64,-0.0019331362292471788
43.5785,31918500,44.07,44.1,43.29,-0.006984163153697209
43.16,31527670,43.38,43.69,43.08,-0.009603359454777083
42.86,30926280,43.21,43.25,42.6,-0.0069508804448562556
43.37,34200470,42.97,43.47,42.81,0.011899206719552025
43.08,26258880,43.31,43.46,42.83,-0.006686649757897123
42.74,24625300,42.74,43.17,42.21,-0.00789229340761366
43.23,30300560,42.84,43.45,42.65,0.01146467009826857
43.2,28942570,43.23,43.315,42.91,-0.000693962526023495
43.2,19829060,43.26,43.45,43.02,0.0
43.52,21422980,43.04,43.59,43.0,0.007407407407407307
44.08,22851140,43.68,44.18,43.52,0.012867647058823373
44.27,19304230,44.08,44.417,44.01,0.004310344827586299
44.79,41573360,44.58,44.895,44.4,0.01174610345606486
45.11,26882850,44.94,45.11,44.68,0.007144451886581749
45.33,28087670,44.97,45.34,44.83,0.004876967412990485
44.95,24747360,45.34,45.4,44.9,-0.008382969335980484
45.22,22272010,44.84,45.25,44.83,0.006006674082313701
45.15,18293690,45.35,45.47,45.07,-0.001547987616099089
